id,source,target,tweet_id,type
EvertonPeres8carlamacedo201,EvertonPeres8,carlamacedo201,1550273934758748160,quote
EvertonPeres8cesaroreis,EvertonPeres8,cesaroreis,1545560259342868480,quote
EvertonPeres8costa_drumond,EvertonPeres8,costa_drumond,1553527825910693889,quote
EvertonPeres8damadanoite14,EvertonPeres8,damadanoite14,1549185544747454464,quote
EvertonPeres8damade_aco,EvertonPeres8,damade_aco,1547012730884079616,quote
EvertonPeres8delegado_marcos,EvertonPeres8,delegado_marcos,1545949254597988355,quote
EvertonPeres8eliana_caires,EvertonPeres8,eliana_caires,1545584254553292800,quote
EvertonPeres8elifasjr2,EvertonPeres8,elifasjr2,1548457513422503942,quote
EvertonPeres8ercio_santoss,EvertonPeres8,ercio_santoss,1548455732508385280,quote
EvertonPeres8filgmartin,EvertonPeres8,filgmartin,1553534932722524161,quote
EvertonPeres8gasampa,EvertonPeres8,gasampa,1553530066096640000,quote
EvertonPeres8jairbolsonaro,EvertonPeres8,jairbolsonaro,1555357124355657730,quote
EvertonPeres8kakabarretogome,EvertonPeres8,kakabarretogome,1545562189653745664,quote
EvertonPeres8karlakcharla,EvertonPeres8,karlakcharla,1550275040821870599,quote
EvertonPeres8lidiacarvalhol2,EvertonPeres8,lidiacarvalhol2,1547006739324755969,quote
EvertonPeres8luizcavalo,EvertonPeres8,luizcavalo,1547726793955627013,quote
EvertonPeres8madermattos1,EvertonPeres8,madermattos1,1548093562750767104,quote
EvertonPeres8rafaelbboa,EvertonPeres8,rafaelbboa,1546650740650803202,quote
EvertonPeres8rdlorenzoni,EvertonPeres8,rdlorenzoni,1548829849325805570,quote
EvertonPeres8ricardojgomes,EvertonPeres8,ricardojgomes,1547730745803739136,quote
EvertonPeres8rmotta2,EvertonPeres8,rmotta2,1545589358169825280,quote
EvertonPeres8samonarcio,EvertonPeres8,samonarcio,1548826744307728387,quote
EvertonPeres8saudeale,EvertonPeres8,saudeale,1545558690681479171,quote
EvertonPeres8saulchristos,EvertonPeres8,saulchristos,1553888973528993792,quote
EvertonPeres8sikerajr,EvertonPeres8,sikerajr,1547007222613426178,quote
